anime_id,jpg_small,jpg_large,webp_small,webp_large
23135,https://cdn.myanimelist.net/images/anime/2/75258t.jpg,https://cdn.myanimelist.net/images/anime/2/75258l.jpg,https://cdn.myanimelist.net/images/anime/2/75258t.webp,https://cdn.myanimelist.net/images/anime/2/75258l.webp
55908,https://cdn.myanimelist.net/images/anime/1940/137034t.jpg,https://cdn.myanimelist.net/images/anime/1940/137034l.jpg,https://cdn.myanimelist.net/images/anime/1940/137034t.webp,https://cdn.myanimelist.net/images/anime/1940/137034l.webp
23151,https://cdn.myanimelist.net/images/anime/12/64091t.jpg,https://cdn.myanimelist.net/images/anime/12/64091l.jpg,https://cdn.myanimelist.net/images/anime/12/64091t.webp,https://cdn.myanimelist.net/images/anime/12/64091l.webp
23153,https://cdn.myanimelist.net/images/anime/2/70353t.jpg,https://cdn.myanimelist.net/images/anime/2/70353l.jpg,https://cdn.myanimelist.net/images/anime/2/70353t.webp,https://cdn.myanimelist.net/images/anime/2/70353l.webp
23179,https://cdn.myanimelist.net/images/anime/9/60009t.jpg,https://cdn.myanimelist.net/images/anime/9/60009l.jpg,https://cdn.myanimelist.net/images/anime/9/60009t.webp,https://cdn.myanimelist.net/images/anime/9/60009l.webp
23189,https://cdn.myanimelist.net/img/sp/icon/apple-touch-icon-256.png,https://cdn.myanimelist.net/img/sp/icon/apple-touch-icon-256.png,https://cdn.myanimelist.net/img/sp/icon/apple-touch-icon-256.png,https://cdn.myanimelist.net/img/sp/icon/apple-touch-icon-256.png
23199,https://cdn.myanimelist.net/images/anime/12/67743t.jpg,https://cdn.myanimelist.net/images/anime/12/67743l.jpg,https://cdn.myanimelist.net/images/anime/12/67743t.webp,https://cdn.myanimelist.net/images/anime/12/67743l.webp
23201,https://cdn.myanimelist.net/images/anime/12/62511t.jpg,https://cdn.myanimelist.net/images/anime/12/62511l.jpg,https://cdn.myanimelist.net/images/anime/12/62511t.webp,https://cdn.myanimelist.net/images/anime/12/62511l.webp
55973,https://cdn.myanimelist.net/images/anime/1762/139690t.jpg,https://cdn.myanimelist.net/images/anime/1762/139690l.jpg,https://cdn.myanimelist.net/images/anime/1762/139690t.webp,https://cdn.myanimelist.net/images/anime/1762/139690l.webp
23209,https://cdn.myanimelist.net/images/anime/1112/130966t.jpg,https://cdn.myanimelist.net/images/anime/1112/130966l.jpg,https://cdn.myanimelist.net/images/anime/1112/130966t.webp,https://cdn.myanimelist.net/images/anime/1112/130966l.webp
23213,https://cdn.myanimelist.net/images/anime/11/60065t.jpg,https://cdn.myanimelist.net/images/anime/11/60065l.jpg,https://cdn.myanimelist.net/images/anime/11/60065t.webp,https://cdn.myanimelist.net/images/anime/11/60065l.webp
23225,https://cdn.myanimelist.net/images/anime/2/73281t.jpg,https://cdn.myanimelist.net/images/anime/2/73281l.jpg,https://cdn.myanimelist.net/images/anime/2/73281t.webp,https://cdn.myanimelist.net/images/anime/2/73281l.webp
55993,https://cdn.myanimelist.net/images/anime/1690/137149t.jpg,https://cdn.myanimelist.net/images/anime/1690/137149l.jpg,https://cdn.myanimelist.net/images/anime/1690/137149t.webp,https://cdn.myanimelist.net/images/anime/1690/137149l.webp
23227,https://cdn.myanimelist.net/images/anime/3/64479t.jpg,https://cdn.myanimelist.net/images/anime/3/64479l.jpg,https://cdn.myanimelist.net/images/anime/3/64479t.webp,https://cdn.myanimelist.net/images/anime/3/64479l.webp
23229,https://cdn.myanimelist.net/images/anime/4/60627t.jpg,https://cdn.myanimelist.net/images/anime/4/60627l.jpg,https://cdn.myanimelist.net/images/anime/4/60627t.webp,https://cdn.myanimelist.net/images/anime/4/60627l.webp
55998,https://cdn.myanimelist.net/images/anime/1207/140800t.jpg,https://cdn.myanimelist.net/images/anime/1207/140800l.jpg,https://cdn.myanimelist.net/images/anime/1207/140800t.webp,https://cdn.myanimelist.net/images/anime/1207/140800l.webp
55999,https://cdn.myanimelist.net/images/anime/1832/137180t.jpg,https://cdn.myanimelist.net/images/anime/1832/137180l.jpg,https://cdn.myanimelist.net/images/anime/1832/137180t.webp,https://cdn.myanimelist.net/images/anime/1832/137180l.webp
23233,https://cdn.myanimelist.net/images/anime/1654/112033t.jpg,https://cdn.myanimelist.net/images/anime/1654/112033l.jpg,https://cdn.myanimelist.net/images/anime/1654/112033t.webp,https://cdn.myanimelist.net/images/anime/1654/112033l.webp
23237,https://cdn.myanimelist.net/images/anime/13/60351t.jpg,https://cdn.myanimelist.net/images/anime/13/60351l.jpg,https://cdn.myanimelist.net/images/anime/13/60351t.webp,https://cdn.myanimelist.net/images/anime/13/60351l.webp
